218	152	432	332
195	96	325	322
383	150	437	295
387	123	438	198
219	102	241	153
221	97	291	155
209	96	322	210
386	108	441	272
309	153	434	317
393	117	438	162
389	122	460	293
364	146	438	199
396	96	437	158
376	104	442	206
194	268	232	323
271	108	302	144
214	116	240	156
319	29	530	316
362	153	427	272
388	150	435	199
378	112	438	171
168	76	498	324
379	96	403	154
378	103	429	158
385	151	435	240
221	100	309	181
253	106	317	192
193	232	271	324
404	122	448	199
366	75	437	185
180	94	334	168
272	128	323	205
397	149	450	274
343	156	414	270
204	121	243	171
163	28	346	315
75	85	336	425
391	183	426	288
0	10	230	454
385	90	458	198
192	264	263	325
281	95	383	218
193	180	347	327
365	158	438	324
356	1	502	167
352	151	422	195
296	139	409	278
254	107	384	297
