205	0	639	286
95	124	268	307
192	126	639	288
107	123	189	228
0	123	78	414
56	122	299	385
84	118	389	304
91	125	199	296
3	113	172	413
570	0	640	262
124	6	468	295
362	139	640	284
92	131	135	181
493	0	639	278
95	126	235	259
91	123	167	182
236	110	464	273
316	106	485	274
121	168	230	307
89	132	139	223
84	125	163	234
218	161	291	207
16	0	640	391
48	135	223	305
208	127	403	274
275	145	428	273
27	48	251	330
321	179	403	274
207	175	290	210
51	110	175	190
259	150	290	194
50	140	150	303
0	232	15	338
165	252	637	332
43	116	61	181
